participantId,sessionId,taskPhase,conditionName,interactionCondition,layoutPreset,trialIndexInCondition,globalTrialIndex,targetDisplayId,targetPositionId,targetLocalX,targetLocalY,targetSize,attemptIndex,clickedDisplayId,clickedLocalX,clickedLocalY,resultType,isCorrect,displayError,targetError,miss,advancesTrial,directSelect,trialStartTime,clickTime,responseTime,timestamp,sourceFile
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,1,49,Display_A_Front,Display_A_Front_C1_R1,0.25,0.22,0.1,1,Display_A_Front,0.242,0.215,Correct,1,0,0,0,1,0,32.479,33.857,1.378,2026-05-20T14:49:44.5876050+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,2,50,Display_A_Front,Display_A_Front_C2_R1,0.75,0.22,0.1,1,Display_A_Front,0.733,0.182,Correct,1,0,0,0,1,0,33.857,35.361,1.504,2026-05-20T14:49:46.0918910+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,3,51,Display_A_Front,Display_A_Front_C1_R2,0.25,0.5,0.1,1,Display_A_Front,0.243,0.513,Correct,1,0,0,0,1,0,35.361,36.447,1.085,2026-05-20T14:49:47.1766230+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,4,52,Display_A_Front,Display_A_Front_C2_R2,0.75,0.5,0.1,1,Display_A_Front,0.748,0.489,Correct,1,0,0,0,1,0,36.447,37.31,0.864,2026-05-20T14:49:48.0404660+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,5,53,Display_A_Front,Display_A_Front_C1_R3,0.25,0.78,0.1,1,Display_A_Front,0.249,0.786,Correct,1,0,0,0,1,0,37.31,38.3,0.989,2026-05-20T14:49:49.0300830+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,6,54,Display_A_Front,Display_A_Front_C2_R3,0.75,0.78,0.1,1,Display_A_Front,0.743,0.754,Correct,1,0,0,0,1,0,38.3,39.371,1.071,2026-05-20T14:49:50.1018840+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,7,55,Display_B_Back,Display_B_Back_C1_R1,0.25,0.22,0.1,1,Display_B_Back,0.229,0.227,Correct,1,0,0,0,1,0,39.371,40.401,1.03,2026-05-20T14:49:51.1321110+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,8,56,Display_B_Back,Display_B_Back_C2_R1,0.75,0.22,0.1,1,Display_B_Back,0.758,0.216,Correct,1,0,0,0,1,0,40.401,41.389,0.988,2026-05-20T14:49:52.1192840+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,9,57,Display_B_Back,Display_B_Back_C1_R2,0.25,0.5,0.1,1,Display_B_Back,0.239,0.496,Correct,1,0,0,0,1,0,41.389,42.505,1.115,2026-05-20T14:49:53.2347690+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,10,58,Display_B_Back,Display_B_Back_C2_R2,0.75,0.5,0.1,1,Display_B_Back,0.737,0.495,Correct,1,0,0,0,1,0,42.505,43.354,0.849,2026-05-20T14:49:54.0836000+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,11,59,Display_B_Back,Display_B_Back_C1_R3,0.25,0.78,0.1,1,Display_B_Back,0.228,0.766,Correct,1,0,0,0,1,0,43.354,44.16,0.807,2026-05-20T14:49:54.8905540+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,12,60,Display_B_Back,Display_B_Back_C2_R3,0.75,0.78,0.1,1,Display_B_Back,0.748,0.764,Correct,1,0,0,0,1,0,44.16,45.009,0.849,2026-05-20T14:49:55.7396110+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,13,61,Display_A_Front,Display_A_Front_C1_R1,0.25,0.22,0.1,1,Display_A_Front,0.251,0.229,Correct,1,0,0,0,1,0,45.009,46.694,1.685,2026-05-20T14:49:57.4245130+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,14,62,Display_A_Front,Display_A_Front_C2_R1,0.75,0.22,0.1,1,Display_A_Front,0.76,0.254,Correct,1,0,0,0,1,0,46.694,48.462,1.768,2026-05-20T14:49:59.1920010+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,15,63,Display_A_Front,Display_A_Front_C1_R2,0.25,0.5,0.1,1,Display_A_Front,0.25,0.487,Correct,1,0,0,0,1,0,48.462,49.534,1.072,2026-05-20T14:50:00.2650560+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,16,64,Display_A_Front,Display_A_Front_C2_R2,0.75,0.5,0.1,1,Display_A_Front,0.76,0.501,Correct,1,0,0,0,1,0,49.534,50.926,1.392,2026-05-20T14:50:01.6562620+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,17,65,Display_A_Front,Display_A_Front_C1_R3,0.25,0.78,0.1,1,Display_A_Front,0.248,0.766,Correct,1,0,0,0,1,0,50.926,51.831,0.905,2026-05-20T14:50:02.5614700+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,18,66,Display_A_Front,Display_A_Front_C2_R3,0.75,0.78,0.1,1,Display_A_Front,0.74,0.752,Correct,1,0,0,0,1,0,51.831,52.834,1.003,2026-05-20T14:50:03.5655550+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,19,67,Display_B_Back,Display_B_Back_C1_R1,0.25,0.22,0.1,1,Display_B_Back,0.246,0.229,Correct,1,0,0,0,1,0,52.834,54.004,1.17,2026-05-20T14:50:04.7338700+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,20,68,Display_B_Back,Display_B_Back_C2_R1,0.75,0.22,0.1,1,Display_B_Back,0.749,0.214,Correct,1,0,0,0,1,0,54.004,55.02,1.017,2026-05-20T14:50:05.7506030+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,21,69,Display_B_Back,Display_B_Back_C1_R2,0.25,0.5,0.1,1,Display_B_Back,0.282,0.494,Correct,1,0,0,0,1,0,55.02,56.049,1.029,2026-05-20T14:50:06.7797770+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,22,70,Display_B_Back,Display_B_Back_C2_R2,0.75,0.5,0.1,1,Display_B_Back,0.741,0.499,Correct,1,0,0,0,1,0,56.049,56.983,0.933,2026-05-20T14:50:07.7127720+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,23,71,Display_B_Back,Display_B_Back_C1_R3,0.25,0.78,0.1,1,Display_B_Back,0.244,0.804,Correct,1,0,0,0,1,0,56.983,57.902,0.919,2026-05-20T14:50:08.6320640+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,24,72,Display_B_Back,Display_B_Back_C2_R3,0.75,0.78,0.1,1,Display_B_Back,0.747,0.797,Correct,1,0,0,0,1,0,57.902,58.848,0.946,2026-05-20T14:50:09.5785180+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,25,73,Display_A_Front,Display_A_Front_C1_R1,0.25,0.22,0.1,1,Display_A_Front,0.254,0.226,Correct,1,0,0,0,1,0,58.848,60.045,1.197,2026-05-20T14:50:10.7757600+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,26,74,Display_A_Front,Display_A_Front_C2_R1,0.75,0.22,0.1,1,Display_A_Front,0.778,0.211,Correct,1,0,0,0,1,0,60.045,60.95,0.905,2026-05-20T14:50:11.6813570+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,27,75,Display_A_Front,Display_A_Front_C1_R2,0.25,0.5,0.1,1,Display_A_Front,0.263,0.477,Correct,1,0,0,0,1,0,60.95,62.552,1.602,2026-05-20T14:50:13.2827160+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,28,76,Display_A_Front,Display_A_Front_C2_R2,0.75,0.5,0.1,1,Display_A_Front,0.774,0.504,Correct,1,0,0,0,1,0,62.552,63.401,0.848,2026-05-20T14:50:14.1319170+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,29,77,Display_A_Front,Display_A_Front_C1_R3,0.25,0.78,0.1,1,Display_A_Front,0.258,0.764,Correct,1,0,0,0,1,0,63.401,64.181,0.78,2026-05-20T14:50:14.9109790+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,30,78,Display_A_Front,Display_A_Front_C2_R3,0.75,0.78,0.1,1,Display_A_Front,0.74,0.785,Correct,1,0,0,0,1,0,64.181,65.072,0.891,2026-05-20T14:50:15.8018910+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,31,79,Display_B_Back,Display_B_Back_C1_R1,0.25,0.22,0.1,1,Display_B_Back,0.241,0.227,Correct,1,0,0,0,1,0,65.072,66.227,1.155,2026-05-20T14:50:16.9570310+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,32,80,Display_B_Back,Display_B_Back_C2_R1,0.75,0.22,0.1,1,Display_B_Back,0.732,0.242,Correct,1,0,0,0,1,0,66.227,67.105,0.878,2026-05-20T14:50:17.8351390+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,33,81,Display_B_Back,Display_B_Back_C1_R2,0.25,0.5,0.1,1,Display_B_Back,0.268,0.484,Correct,1,0,0,0,1,0,67.105,68.121,1.016,2026-05-20T14:50:18.8516490+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,34,82,Display_B_Back,Display_B_Back_C2_R2,0.75,0.5,0.1,1,Display_B_Back,0.742,0.478,Correct,1,0,0,0,1,0,68.121,69.138,1.016,2026-05-20T14:50:19.8676550+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,35,83,Display_B_Back,Display_B_Back_C1_R3,0.25,0.78,0.1,1,Display_B_Back,0.272,0.789,Correct,1,0,0,0,1,0,69.138,69.917,0.779,2026-05-20T14:50:20.6471840+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,36,84,Display_B_Back,Display_B_Back_C2_R3,0.75,0.78,0.1,1,Display_B_Back,0.757,0.754,Correct,1,0,0,0,1,0,69.917,70.753,0.836,2026-05-20T14:50:21.4829290+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,37,85,Display_A_Front,Display_A_Front_C1_R1,0.25,0.22,0.1,1,Display_A_Front,0.24,0.18,Correct,1,0,0,0,1,0,70.753,72.06,1.308,2026-05-20T14:50:22.7905600+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,38,86,Display_A_Front,Display_A_Front_C2_R1,0.75,0.22,0.1,1,Display_A_Front,0.752,0.211,Correct,1,0,0,0,1,0,72.06,72.896,0.836,2026-05-20T14:50:23.6259910+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,39,87,Display_A_Front,Display_A_Front_C1_R2,0.25,0.5,0.1,1,Display_A_Front,0.267,0.486,Correct,1,0,0,0,1,0,72.896,73.912,1.016,2026-05-20T14:50:24.6420870+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,40,88,Display_A_Front,Display_A_Front_C2_R2,0.75,0.5,0.1,1,Display_A_Front,0.754,0.495,Correct,1,0,0,0,1,0,73.912,74.748,0.836,2026-05-20T14:50:25.4778430+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,41,89,Display_A_Front,Display_A_Front_C1_R3,0.25,0.78,0.1,1,Display_A_Front,0.243,0.801,Correct,1,0,0,0,1,0,74.748,75.792,1.044,2026-05-20T14:50:26.5217800+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,42,90,Display_A_Front,Display_A_Front_C2_R3,0.75,0.78,0.1,1,Display_A_Front,0.757,0.759,Correct,1,0,0,0,1,0,75.792,77.212,1.42,2026-05-20T14:50:27.9421240+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,43,91,Display_B_Back,Display_B_Back_C1_R1,0.25,0.22,0.1,1,Display_B_Back,0.246,0.239,Correct,1,0,0,0,1,0,77.212,78.938,1.726,2026-05-20T14:50:29.6683480+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,44,92,Display_B_Back,Display_B_Back_C2_R1,0.75,0.22,0.1,1,Display_B_Back,0.75,0.208,Correct,1,0,0,0,1,0,78.938,79.775,0.836,2026-05-20T14:50:30.5048150+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,45,93,Display_B_Back,Display_B_Back_C1_R2,0.25,0.5,0.1,1,Display_B_Back,0.218,0.516,Correct,1,0,0,0,1,0,79.775,82.405,2.631,2026-05-20T14:50:33.1354800+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,46,94,Display_B_Back,Display_B_Back_C2_R2,0.75,0.5,0.1,1,Display_B_Back,0.738,0.485,Correct,1,0,0,0,1,0,82.405,83.379,0.974,2026-05-20T14:50:34.1093130+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,47,95,Display_B_Back,Display_B_Back_C1_R3,0.25,0.78,0.1,1,Display_B_Back,0.251,0.76,Correct,1,0,0,0,1,0,83.379,84.772,1.392,2026-05-20T14:50:35.5021790+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionB,ExplicitDisplayFocus,StrongOcclusion,48,96,Display_B_Back,Display_B_Back_C2_R3,0.75,0.78,0.1,1,Display_B_Back,0.75,0.787,Correct,1,0,0,0,1,0,84.772,85.872,1.1,2026-05-20T14:50:36.6019110+09:00,Logs/Quest/t1_results_P000_S000_20260520_144939.csv
P000,S000,MainTask,ConditionA,RaycastBaseline,StrongOcclusion,1,1,Display_A_Front,Display_A_Front_C1_R1,0.25,0.22,0.1,1,Display_A_Front,0.238,0.212,Correct,1,0,0,0,1,0,95.923,96.912,0.988,2026-05-20T14:50:47.6419640+09:00,Logs/Quest/t1_results_P000_S000_20260520_145043.csv
P000,S000,MainTask,ConditionA,RaycastBaseline,StrongOcclusion,2,2,Display_A_Front,Display_A_Front_C2_R1,0.75,0.22,0.1,1,Display_A_Front,0.735,0.237,Correct,1,0,0,0,1,0,96.912,97.804,0.892,2026-05-20T14:50:48.5337980+09:00,Logs/Quest/t1_results_P000_S000_20260520_145043.csv
P000,S000,MainTask,ConditionA,RaycastBaseline,StrongOcclusion,3,3,Display_A_Front,Display_A_Front_C1_R2,0.25,0.5,0.1,1,Display_A_Front,0.253,0.491,Correct,1,0,0,0,1,0,97.804,98.583,0.779,2026-05-20T14:50:49.3134630+09:00,Logs/Quest/t1_results_P000_S000_20260520_145043.csv
P000,S000,MainTask,ConditionA,RaycastBaseline,StrongOcclusion,4,4,Display_A_Front,Display_A_Front_C2_R2,0.75,0.5,0.1,1,Display_A_Front,0.747,0.476,Correct,1,0,0,0,1,0,98.583,99.376,0.794,2026-05-20T14:50:50.1062060+09:00,Logs/Quest/t1_results_P000_S000_20260520_145043.csv
