listName,phase,trialIndex,cycleIndex,targetId,display,positionId,x,y,size,repetition,isBackDisplay,inputOccluded,previousDisplay,previousPositionId,previousSize,previousInputOccluded,transitionDirection,transitionType,occlusionPrevType
A,main,1,1,D2_P4_Small_R0,D2,4,0.5,0.5,Small,0,True,False,,,,,,,
A,main,2,1,D1_P8_Small_R0,D1,8,0.9,0.9,Small,0,False,False,D2,4,Small,False,D2_to_D1,crossDisplay,
A,main,3,1,D1_P0_Small_R0,D1,0,0.1,0.1,Small,0,False,False,D1,8,Small,False,D1_to_D1,sameDisplay,
A,main,4,1,D1_P8_Large_R0,D1,8,0.9,0.9,Large,0,False,False,D1,0,Small,False,D1_to_D1,sameDisplay,
A,main,5,1,D1_P2_Large_R0,D1,2,0.9,0.1,Large,0,False,False,D1,8,Large,False,D1_to_D1,sameDisplay,
A,main,6,1,D2_P2_Small_R0,D2,2,0.9,0.1,Small,0,True,True,D1,2,Large,False,D1_to_D2,crossDisplay,front_to_occ
A,main,7,1,D2_P6_Large_R0,D2,6,0.1,0.9,Large,0,True,False,D2,2,Small,True,D2_to_D2,sameDisplay,
A,main,10,1,D2_P3_Small_R0,D2,3,0.1,0.5,Small,0,True,False,D1,6,Medium,False,D1_to_D2,crossDisplay,
A,main,11,1,D1_P3_Large_R0,D1,3,0.1,0.5,Large,0,False,False,D2,3,Small,False,D2_to_D1,crossDisplay,
A,main,12,1,D1_P5_Large_R0,D1,5,0.9,0.5,Large,0,False,False,D1,3,Large,False,D1_to_D1,sameDisplay,
A,main,13,1,D2_P8_Large_R0,D2,8,0.9,0.9,Large,0,True,False,D1,5,Large,False,D1_to_D2,crossDisplay,
A,main,16,1,D2_P0_Small_R0,D2,0,0.1,0.1,Small,0,True,True,D2,7,Medium,False,D2_to_D2,sameDisplay,back_no_to_occ
A,main,17,1,D2_P7_Small_R0,D2,7,0.5,0.9,Small,0,True,False,D2,0,Small,True,D2_to_D2,sameDisplay,
A,main,18,1,D1_P3_Small_R0,D1,3,0.1,0.5,Small,0,False,False,D2,7,Small,False,D2_to_D1,crossDisplay,
A,main,19,1,D2_P7_Large_R0,D2,7,0.5,0.9,Large,0,True,False,D1,3,Small,False,D1_to_D2,crossDisplay,
A,main,21,1,D2_P4_Large_R0,D2,4,0.5,0.5,Large,0,True,False,D2,5,Medium,False,D2_to_D2,sameDisplay,
A,main,22,1,D1_P0_Large_R0,D1,0,0.1,0.1,Large,0,False,False,D2,4,Large,False,D2_to_D1,crossDisplay,
A,main,23,1,D2_P1_Small_R0,D2,1,0.5,0.1,Small,0,True,True,D1,0,Large,False,D1_to_D2,crossDisplay,front_to_occ
A,main,25,1,D2_P2_Large_R0,D2,2,0.9,0.1,Large,0,True,True,D2,4,Medium,False,D2_to_D2,sameDisplay,back_no_to_occ
A,main,26,1,D1_P6_Large_R0,D1,6,0.1,0.9,Large,0,False,False,D2,2,Large,True,D2_to_D1,crossDisplay,
A,main,28,1,D2_P8_Small_R0,D2,8,0.9,0.9,Small,0,True,False,D1,2,Medium,False,D1_to_D2,crossDisplay,
A,main,30,1,D1_P5_Small_R0,D1,5,0.9,0.5,Small,0,False,False,D1,8,Medium,False,D1_to_D1,sameDisplay,
A,main,31,1,D1_P2_Small_R0,D1,2,0.9,0.1,Small,0,False,False,D1,5,Small,False,D1_to_D1,sameDisplay,
A,main,32,1,D1_P7_Large_R0,D1,7,0.5,0.9,Large,0,False,False,D1,2,Small,False,D1_to_D1,sameDisplay,
A,main,33,1,D2_P5_Large_R0,D2,5,0.9,0.5,Large,0,True,False,D1,7,Large,False,D1_to_D2,crossDisplay,
A,main,34,1,D1_P1_Large_R0,D1,1,0.5,0.1,Large,0,False,False,D2,5,Large,False,D2_to_D1,crossDisplay,
A,main,40,1,D1_P7_Small_R0,D1,7,0.5,0.9,Small,0,False,False,D2,0,Medium,True,D2_to_D1,crossDisplay,
A,main,41,1,D2_P6_Small_R0,D2,6,0.1,0.9,Small,0,True,False,D1,7,Small,False,D1_to_D2,crossDisplay,
A,main,43,1,D1_P6_Small_R0,D1,6,0.1,0.9,Small,0,False,False,D2,1,Medium,True,D2_to_D1,crossDisplay,
A,main,44,1,D1_P4_Large_R0,D1,4,0.5,0.5,Large,0,False,False,D1,6,Small,False,D1_to_D1,sameDisplay,
A,main,45,1,D2_P3_Large_R0,D2,3,0.1,0.5,Large,0,True,False,D1,4,Large,False,D1_to_D2,crossDisplay,
A,main,47,1,D2_P1_Large_R0,D2,1,0.5,0.1,Large,0,True,True,D1,4,Medium,False,D1_to_D2,crossDisplay,front_to_occ
A,main,48,1,D2_P5_Small_R0,D2,5,0.9,0.5,Small,0,True,False,D2,1,Large,True,D2_to_D2,sameDisplay,
A,main,49,1,D1_P1_Small_R0,D1,1,0.5,0.1,Small,0,False,False,D2,5,Small,False,D2_to_D1,crossDisplay,
A,main,50,1,D2_P0_Large_R0,D2,0,0.1,0.1,Large,0,True,True,D1,1,Small,False,D1_to_D2,crossDisplay,front_to_occ
A,main,53,1,D1_P4_Small_R0,D1,4,0.5,0.5,Small,0,False,False,D2,2,Medium,True,D2_to_D1,crossDisplay,
