participantNumber,participantId,blockNumber,slotInBlock,methodCode,interactionCondition,allocationCode
1,P001,1,1,GAZESTICK,ExplicitDisplayFocus,PB3-B001-S1-GAZESTICK-Seed20260725
2,P002,1,2,GAZERAY,GazeRay,PB3-B001-S2-GAZERAY-Seed20260725
3,P003,1,3,RAY,RaycastBaseline,PB3-B001-S3-RAY-Seed20260725
4,P004,2,1,GAZERAY,GazeRay,PB3-B002-S1-GAZERAY-Seed20260725
5,P005,2,2,GAZESTICK,ExplicitDisplayFocus,PB3-B002-S2-GAZESTICK-Seed20260725
6,P006,2,3,RAY,RaycastBaseline,PB3-B002-S3-RAY-Seed20260725
7,P007,3,1,GAZESTICK,ExplicitDisplayFocus,PB3-B003-S1-GAZESTICK-Seed20260725
8,P008,3,2,GAZERAY,GazeRay,PB3-B003-S2-GAZERAY-Seed20260725
9,P009,3,3,RAY,RaycastBaseline,PB3-B003-S3-RAY-Seed20260725
10,P010,4,1,GAZESTICK,ExplicitDisplayFocus,PB3-B004-S1-GAZESTICK-Seed20260725
11,P011,4,2,GAZERAY,GazeRay,PB3-B004-S2-GAZERAY-Seed20260725
12,P012,4,3,RAY,RaycastBaseline,PB3-B004-S3-RAY-Seed20260725
13,P013,5,1,RAY,RaycastBaseline,PB3-B005-S1-RAY-Seed20260725
14,P014,5,2,GAZESTICK,ExplicitDisplayFocus,PB3-B005-S2-GAZESTICK-Seed20260725
15,P015,5,3,GAZERAY,GazeRay,PB3-B005-S3-GAZERAY-Seed20260725
16,P016,6,1,GAZERAY,GazeRay,PB3-B006-S1-GAZERAY-Seed20260725
17,P017,6,2,RAY,RaycastBaseline,PB3-B006-S2-RAY-Seed20260725
18,P018,6,3,GAZESTICK,ExplicitDisplayFocus,PB3-B006-S3-GAZESTICK-Seed20260725
19,P019,7,1,RAY,RaycastBaseline,PB3-B007-S1-RAY-Seed20260725
20,P020,7,2,GAZESTICK,ExplicitDisplayFocus,PB3-B007-S2-GAZESTICK-Seed20260725
21,P021,7,3,GAZERAY,GazeRay,PB3-B007-S3-GAZERAY-Seed20260725
22,P022,8,1,GAZESTICK,ExplicitDisplayFocus,PB3-B008-S1-GAZESTICK-Seed20260725
23,P023,8,2,GAZERAY,GazeRay,PB3-B008-S2-GAZERAY-Seed20260725
24,P024,8,3,RAY,RaycastBaseline,PB3-B008-S3-RAY-Seed20260725
25,P025,9,1,GAZESTICK,ExplicitDisplayFocus,PB3-B009-S1-GAZESTICK-Seed20260725
26,P026,9,2,GAZERAY,GazeRay,PB3-B009-S2-GAZERAY-Seed20260725
27,P027,9,3,RAY,RaycastBaseline,PB3-B009-S3-RAY-Seed20260725
28,P028,10,1,GAZERAY,GazeRay,PB3-B010-S1-GAZERAY-Seed20260725
29,P029,10,2,RAY,RaycastBaseline,PB3-B010-S2-RAY-Seed20260725
30,P030,10,3,GAZESTICK,ExplicitDisplayFocus,PB3-B010-S3-GAZESTICK-Seed20260725
